"Time","Value (%)"
"2019/01/30 07:05:00","38.0607643"
"2019/01/30 07:00:00","37.5694"
"2019/01/30 07:00:00","37.5693588"
"2019/01/30 06:55:00","38.0694"
"2019/01/30 06:55:00","38.069355"
"2019/01/30 06:50:00","37.3612"
"2019/01/30 06:50:00","37.3611717"
"2019/01/30 06:45:00","37.9228"
"2019/01/30 06:45:00","37.9228325"
"2019/01/30 06:40:00","37.3588"
"2019/01/30 06:40:00","37.3588257"
"2019/01/30 06:35:00","37.5077"
"2019/01/30 06:35:00","37.5076942"
"2019/01/30 06:30:00","37.5321"
"2019/01/30 06:30:00","37.5321121"
"2019/01/30 06:25:00","37.0926"
"2019/01/30 06:25:00","37.092556"
"2019/01/30 06:20:00","37.6054"
"2019/01/30 06:20:00","37.6053734"
"2019/01/30 06:15:00","36.8972"
"2019/01/30 06:15:00","36.8971939"
"2019/01/30 06:10:00","37.4589"
"2019/01/30 06:10:00","37.4588509"
"2019/01/30 06:05:00","37.252"
"2019/01/30 06:05:00","37.2519798"
"2019/01/30 06:00:00","37.1658"
"2019/01/30 06:00:00","37.1658134"
"2019/01/30 05:55:00","37.2635"
"2019/01/30 05:55:00","37.2634926"
"2019/01/30 05:50:00","36.8239"
"2019/01/30 05:50:00","36.8239326"
"2019/01/30 05:45:00","37.117"
"2019/01/30 05:45:00","37.1169739"
"2019/01/30 05:40:00","36.528"
"2019/01/30 05:40:00","36.5279617"
"2019/01/30 05:35:00","36.9216"
"2019/01/30 05:35:00","36.9216423"
"2019/01/30 05:30:00","35.725"
"2019/01/30 05:30:00","35.7250328"
"2019/01/30 05:25:00","33.3539"
"2019/01/30 05:25:00","33.3539429"
"2019/01/30 05:20:00","34.211"
"2019/01/30 05:20:00","34.2109909"
"2019/01/30 05:15:00","37.9013"
"2019/01/30 05:15:00","37.9012604"
"2019/01/30 05:10:00","37.2147"
"2019/01/30 05:10:00","37.214653"
"2019/01/30 05:05:00","37.7519"
"2019/01/30 05:05:00","37.7518921"
"2019/01/30 05:00:00","37.5321"
"2019/01/30 05:00:00","37.5321121"
"2019/01/30 04:55:00","37.3733"
"2019/01/30 04:55:00","37.3732948"
"2019/01/30 04:50:00","37.6786"
"2019/01/30 04:50:00","37.6786346"
"2019/01/30 04:45:00","37.1902"
"2019/01/30 04:45:00","37.1902351"
"2019/01/30 04:40:00","37.7519"
"2019/01/30 04:40:00","37.7518921"
"2019/01/30 04:35:00","37.2669"
"2019/01/30 04:35:00","37.2669373"
"2019/01/30 04:30:00","37.874"
"2019/01/30 04:30:00","37.8739929"
"2019/01/30 04:25:00","37.6435"
"2019/01/30 04:25:00","37.6434746"
"2019/01/30 04:20:00","37.41"
"2019/01/30 04:20:00","37.4100113"
"2019/01/30 04:15:00","37.9228"
"2019/01/30 04:15:00","37.9228325"
"2019/01/30 04:10:00","37.41"
"2019/01/30 04:10:00","37.4100113"
"2019/01/30 04:05:00","37.7013"
"2019/01/30 04:05:00","37.7013321"
"2019/01/30 04:00:00","37.3"
"2019/01/30 04:00:00","37.2999878"
"2019/01/30 03:55:00","37.2635"
"2019/01/30 03:55:00","37.2634926"
"2019/01/30 03:50:00","37.7298"
"2019/01/30 03:50:00","37.7298203"
"2019/01/30 03:45:00","37.1414"
"2019/01/30 03:45:00","37.1413956"
"2019/01/30 03:40:00","37.3612"
"2019/01/30 03:40:00","37.3611717"
"2019/01/30 03:35:00","36.8728"
"2019/01/30 03:35:00","36.8727722"
"2019/01/30 03:30:00","36.8239"
"2019/01/30 03:30:00","36.8239326"
"2019/01/30 03:25:00","36.5797"
"2019/01/30 03:25:00","36.579731"
"2019/01/30 03:20:00","35.8716"
"2019/01/30 03:20:00","35.8715515"
"2019/01/30 03:15:00","33.5307"
"2019/01/30 03:15:00","33.530674"
"2019/01/30 03:10:00","34.9157"
"2019/01/30 03:10:00","34.9157295"
"2019/01/30 03:05:00","37.4735"
"2019/01/30 03:05:00","37.4735069"
"2019/01/30 03:00:00","37.117"
"2019/01/30 03:00:00","37.1169739"
"2019/01/30 02:55:00","37.6786"
"2019/01/30 02:55:00","37.6786346"
"2019/01/30 02:50:00","37.1658"
"2019/01/30 02:50:00","37.1658134"
"2019/01/30 02:45:00","37.1902"
"2019/01/30 02:45:00","37.1902351"
"2019/01/30 02:40:00","37.7031"
"2019/01/30 02:40:00","37.7030525"
"2019/01/30 02:35:00","37.1902"
"2019/01/30 02:35:00","37.1902351"
"2019/01/30 02:30:00","37.581"
"2019/01/30 02:30:00","37.5809555"
"2019/01/30 02:25:00","37.8555"
"2019/01/30 02:25:00","37.8555336"
"2019/01/30 02:20:00","37.3856"
"2019/01/30 02:20:00","37.3855934"
"2019/01/30 02:15:00","38.1182"
"2019/01/30 02:15:00","38.1181946"
"2019/01/30 02:10:00","38.0426"
"2019/01/30 02:10:00","38.0425568"
"2019/01/30 02:05:00","37.6298"
"2019/01/30 02:05:00","37.6297951"
"2019/01/30 02:00:00","38.1182"
"2019/01/30 02:00:00","38.1181946"
"2019/01/30 01:55:00","37.8007"
"2019/01/30 01:55:00","37.8007317"
"2019/01/30 01:50:00","37.5321"
"2019/01/30 01:50:00","37.5321121"
"2019/01/30 01:45:00","37.874"
"2019/01/30 01:45:00","37.8739929"
"2019/01/30 01:40:00","37.7275"
"2019/01/30 01:40:00","37.7274742"
"2019/01/30 01:35:00","37.5077"
"2019/01/30 01:35:00","37.5076942"
"2019/01/30 01:30:00","37.8496"
"2019/01/30 01:30:00","37.8495712"
"2019/01/30 01:25:00","37.8496"
"2019/01/30 01:25:00","37.8495712"
"2019/01/30 01:20:00","37.5321"
"2019/01/30 01:20:00","37.5321121"
"2019/01/30 01:15:00","38.0205"
"2019/01/30 01:15:00","38.0205154"
"2019/01/30 01:10:00","37.9793"
"2019/01/30 01:10:00","37.9793129"
"2019/01/30 01:05:00","37.5077"
"2019/01/30 01:05:00","37.5076942"
"2019/01/30 01:00:00","37.9228"
"2019/01/30 01:00:00","37.9228325"
"2019/01/30 00:55:00","37.7275"
"2019/01/30 00:55:00","37.7274742"
"2019/01/30 00:50:00","37.4833"
"2019/01/30 00:50:00","37.4832726"
"2019/01/30 00:45:00","37.7919"
"2019/01/30 00:45:00","37.7919197"
"2019/01/30 00:40:00","37.8032"
"2019/01/30 00:40:00","37.8031807"
"2019/01/30 00:35:00","37.5976"
"2019/01/30 00:35:00","37.5975571"
"2019/01/30 00:30:00","37.8359"
"2019/01/30 00:30:00","37.8358917"
"2019/01/30 00:25:00","37.5077"
"2019/01/30 00:25:00","37.5076942"
"2019/01/30 00:20:00","37.5565"
"2019/01/30 00:20:00","37.5565338"
"2019/01/30 00:15:00","37.8007"
"2019/01/30 00:15:00","37.8007317"
"2019/01/30 00:10:00","37.3856"
"2019/01/30 00:10:00","37.3855934"
"2019/01/30 00:05:00","37.2147"
"2019/01/30 00:05:00","37.214653"
"2019/01/30 00:00:00","37.2391"
"2019/01/30 00:00:00","37.2390747"
"2019/01/29 23:55:00","36.6286"
"2019/01/29 23:55:00","36.6285744"
"2019/01/29 23:50:00","36.653"
"2019/01/29 23:50:00","36.6529922"
"2019/01/29 23:45:00","35.6655"
"2019/01/29 23:45:00","35.6654549"
"2019/01/29 23:40:00","34.4796"
"2019/01/29 23:40:00","34.4796104"
"2019/01/29 23:35:00","37.0926"
"2019/01/29 23:35:00","37.092556"
"2019/01/29 23:30:00","35.1145"
"2019/01/29 23:30:00","35.1145325"
"2019/01/29 23:25:00","35.6518"
"2019/01/29 23:25:00","35.6517715"
"2019/01/29 23:20:00","36.8948"
"2019/01/29 23:20:00","36.8948174"
"2019/01/29 23:15:00","36.4576"
"2019/01/29 23:15:00","36.457634"
"2019/01/29 23:10:00","36.6774"
"2019/01/29 23:10:00","36.6774139"
"2019/01/29 23:05:00","36.1083"
"2019/01/29 23:05:00","36.1082611"
"2019/01/29 23:00:00","35.7006"
"2019/01/29 23:00:00","35.7006111"
"2019/01/29 22:55:00","35.1634"
"2019/01/29 22:55:00","35.163372"
"2019/01/29 22:50:00","34.1359"
"2019/01/29 22:50:00","34.1359291"
"2019/01/29 22:45:00","34.8888"
"2019/01/29 22:45:00","34.8887901"
"2019/01/29 22:40:00","37.9961"
"2019/01/29 22:40:00","37.9960938"
"2019/01/29 22:35:00","38.327"
"2019/01/29 22:35:00","38.3270035"
"2019/01/29 22:30:00","38.4313"
"2019/01/29 22:30:00","38.4312668"
"2019/01/29 22:25:00","38.9729"
"2019/01/29 22:25:00","38.9728928"
"2019/01/29 22:20:00","38.802"
"2019/01/29 22:20:00","38.8019562"
"2019/01/29 22:15:00","39.1927"
"2019/01/29 22:15:00","39.1926765"
"2019/01/29 22:10:00","39.4741"
"2019/01/29 22:10:00","39.4741058"
"2019/01/29 22:05:00","38.9729"
"2019/01/29 22:05:00","38.9728928"
"2019/01/29 22:00:00","39.559"
"2019/01/29 22:00:00","39.5589752"
"2019/01/29 21:55:00","39.6469"
"2019/01/29 21:55:00","39.6468849"
"2019/01/29 21:50:00","39.1927"
"2019/01/29 21:50:00","39.1926765"
"2019/01/29 21:45:00","39.6322"
"2019/01/29 21:45:00","39.6322365"
"2019/01/29 21:40:00","39.7024"
"2019/01/29 21:40:00","39.7024117"
"2019/01/29 21:35:00","39.1682"
"2019/01/29 21:35:00","39.1681976"
"2019/01/29 21:30:00","39.4613"
"2019/01/29 21:30:00","39.4612961"
"2019/01/29 21:25:00","39.8402"
"2019/01/29 21:25:00","39.8402138"
"2019/01/29 21:20:00","39.2904"
"2019/01/29 21:20:00","39.2903557"
"2019/01/29 21:15:00","39.1638"
"2019/01/29 21:15:00","39.1638298"
"2019/01/29 21:10:00","39.5101"
"2019/01/29 21:10:00","39.5101357"
"2019/01/29 21:05:00","39.559"
"2019/01/29 21:05:00","39.5589752"
"2019/01/29 21:00:00","38.9241"
"2019/01/29 21:00:00","38.9240532"
"2019/01/29 20:55:00","39.2171"
"2019/01/29 20:55:00","39.2170944"
"2019/01/29 20:50:00","39.4369"
"2019/01/29 20:50:00","39.4368744"
"2019/01/29 20:45:00","39.0538"
"2019/01/29 20:45:00","39.0537949"
"2019/01/29 20:40:00","38.9241"
"2019/01/29 20:40:00","38.9240532"
"2019/01/29 20:35:00","39.2904"
"2019/01/29 20:35:00","39.2903557"
"2019/01/29 20:30:00","39.2659"
"2019/01/29 20:30:00","39.265934"
"2019/01/29 20:25:00","38.802"
"2019/01/29 20:25:00","38.8019562"
"2019/01/29 20:20:00","39.0462"
"2019/01/29 20:20:00","39.046154"
"2019/01/29 20:15:00","39.2711"
"2019/01/29 20:15:00","39.2711449"
"2019/01/29 20:10:00","39.2948"
"2019/01/29 20:10:00","39.2947807"
"2019/01/29 20:05:00","38.8264"
"2019/01/29 20:05:00","38.8263741"
"2019/01/29 20:00:00","38.6946"
"2019/01/29 20:00:00","38.694622"
"2019/01/29 19:55:00","39.1438"
"2019/01/29 19:55:00","39.143837"
"2019/01/29 19:50:00","39.2904"
"2019/01/29 19:50:00","39.2903557"
"2019/01/29 19:45:00","38.8752"
"2019/01/29 19:45:00","38.8752136"
"2019/01/29 19:40:00","38.748"
"2019/01/29 19:40:00","38.7480469"
"2019/01/29 19:35:00","39.0533"
"2019/01/29 19:35:00","39.053257"
"2019/01/29 19:30:00","39.1878"
"2019/01/29 19:30:00","39.1878014"
"2019/01/29 19:25:00","38.631"
"2019/01/29 19:25:00","38.631012"
"2019/01/29 19:20:00","38.5333"
"2019/01/29 19:20:00","38.5333328"
"2019/01/29 19:15:00","38.8264"
"2019/01/29 19:15:00","38.8263741"
"2019/01/29 19:10:00","39.1927"
"2019/01/29 19:10:00","39.1926765"
"2019/01/29 19:05:00","38.8137"
"2019/01/29 19:05:00","38.8136864"
"2019/01/29 19:00:00","38.4112"
"2019/01/29 19:00:00","38.4112358"
"2019/01/29 18:55:00","38.9241"
"2019/01/29 18:55:00","38.9240532"
"2019/01/29 18:50:00","39.107"
"2019/01/29 18:50:00","39.1069641"
"2019/01/29 18:45:00","38.4845"
"2019/01/29 18:45:00","38.4844933"
"2019/01/29 18:40:00","38.338"
"2019/01/29 18:40:00","38.3379745"
"2019/01/29 18:35:00","38.8264"
"2019/01/29 18:35:00","38.8263741"
"2019/01/29 18:30:00","39.1304"
"2019/01/29 18:30:00","39.1304131"
"2019/01/29 18:25:00","38.6066"
"2019/01/29 18:25:00","38.6065941"
"2019/01/29 18:20:00","38.5822"
"2019/01/29 18:20:00","38.5821724"
"2019/01/29 18:15:00","38.8508"
"2019/01/29 18:15:00","38.8507957"
"2019/01/29 18:10:00","39.1438"
"2019/01/29 18:10:00","39.143837"
"2019/01/29 18:05:00","38.7531"
"2019/01/29 18:05:00","38.7531166"
"2019/01/29 18:00:00","38.3287"
"2019/01/29 18:00:00","38.3287315"
"2019/01/29 17:55:00","38.793"
"2019/01/29 17:55:00","38.7929688"
"2019/01/29 17:50:00","39.1194"
"2019/01/29 17:50:00","39.1194153"
"2019/01/29 17:45:00","38.6554"
"2019/01/29 17:45:00","38.6554337"
"2019/01/29 17:40:00","38.3987"
"2019/01/29 17:40:00","38.3986816"
"2019/01/29 17:35:00","39.0706"
"2019/01/29 17:35:00","39.0705757"
"2019/01/29 17:30:00","39.0706"
"2019/01/29 17:30:00","39.0705757"
"2019/01/29 17:25:00","38.3136"
"2019/01/29 17:25:00","38.3135529"
"2019/01/29 17:20:00","38.5127"
"2019/01/29 17:20:00","38.5127411"
"2019/01/29 17:15:00","39.0217"
"2019/01/29 17:15:00","39.0217323"
"2019/01/29 17:10:00","38.7775"
"2019/01/29 17:10:00","38.7775345"
"2019/01/29 17:05:00","38.3136"
"2019/01/29 17:05:00","38.3135529"
"2019/01/29 17:00:00","38.756"
"2019/01/29 17:00:00","38.7560425"
"2019/01/29 16:55:00","38.9241"
"2019/01/29 16:55:00","38.9240532"
"2019/01/29 16:50:00","38.2403"
"2019/01/29 16:50:00","38.2402916"
"2019/01/29 16:45:00","38.5822"
"2019/01/29 16:45:00","38.5821724"
"2019/01/29 16:40:00","39.1438"
"2019/01/29 16:40:00","39.143837"
"2019/01/29 16:35:00","38.6799"
"2019/01/29 16:35:00","38.6798553"
"2019/01/29 16:30:00","38.5578"
"2019/01/29 16:30:00","38.5577545"
"2019/01/29 16:25:00","39.095"
"2019/01/29 16:25:00","39.0949936"
